Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2002-03-10,12.1438,12.2641,11.5102,11.7493,5691221.6991519
2002-03-17,11.7247,11.78,11.2396,11.2958,4896902.8465761
2002-03-24,11.3583,11.4777,10.8125,11.4153,3822665.7371956
2002-03-31,11.4153,11.4777,11.1772,11.2651,2516471.5813142
2002-04-07,11.208,11.3583,10.8749,11.2396,3732683.8423519
2002-04-14,11.2958,11.4469,10.9381,11.0884,6490973.5153284
2002-04-21,11.113,11.4469,10.9628,11.113,3188726.285827
2002-04-28,11.0569,11.3583,11.0261,11.1772,3869430.8761243
2002-05-05,11.113,11.1772,10.9381,11.0569,1895715.0898012
2002-05-12,11.0261,11.2651,10.8749,10.9936,4325631.3898875
2002-05-19,10.9936,12.0822,10.9628,11.6605,8074904.3211392
2002-05-26,11.7493,11.9944,11.4153,11.9944,6262234.822632
2002-06-02,11.8995,12.1438,11.6605,11.8749,4294711.0670906
2002-06-09,11.8749,12.628,11.8125,12.3266,5978171.8541738
2002-06-16,12.3266,12.504,11.8433,11.8433,7156384.0968636
2002-06-23,11.8749,11.9636,11.3292,11.7247,5061721.7096614
2002-06-30,11.6306,11.7247,10.693,10.8125,7128156.3572002
2002-07-07,10.7563,11.0569,10.2088,10.6605,7014248.4827289
2002-07-14,10.8125,10.8125,10.2721,10.3028,3958519.41604
2002-07-21,10.3028,10.693,10.0261,10.1219,3565313.5120707
2002-07-28,10.0577,10.2387,9.66937,10.1517,6878871.63919
2002-08-04,10.1517,10.4856,10.0006,10.1517,4427900.6135953
2002-08-11,10.1219,10.2387,9.93734,10.0885,3272287.4055062
2002-08-18,10.0577,10.2088,9.66937,9.70013,5003237.1197146
2002-08-25,9.70013,10.2088,9.24669,10.0006,12340380.490463
2002-09-01,10.1772,10.8125,10.0577,10.3591,6000779.9930285
2002-09-08,10.4215,10.6042,10.0261,10.3591,4516533.9408088
2002-09-15,10.3916,10.693,10.2721,10.2721,3930430.5162508
2002-09-22,10.2721,10.7238,10.1219,10.1772,6236934.1006437
2002-09-29,10.2721,10.2721,9.72554,9.90741,6580396.6365802
2002-10-06,9.84949,10.0577,9.72554,9.96985,5714769.8522366
2002-10-13,9.78706,10.5102,9.75805,10.4215,5562860.8213857
2002-10-20,10.4215,10.787,10.3028,10.787,5845896.1471687
2002-10-27,10.7563,11.0261,10.693,10.787,5154449.6751312
2002-11-03,10.8433,11.5981,10.8433,11.5981,6023455.2757568
2002-11-10,11.6605,11.7247,11.2958,11.4777,3948037.0055401
2002-11-17,11.4777,11.8995,11.2958,11.2958,4555209.9500194
2002-11-24,11.2958,11.4469,10.9381,11.3898,7671921.5863584
2002-12-01,11.4153,11.7247,11.2958,11.2958,7103706.8829651
2002-12-08,11.2958,11.7493,11.208,11.2396,5180445.734522
2002-12-15,11.2396,11.2958,10.8125,11.0569,8024216.3867493
2002-12-22,11.0569,11.1772,10.5735,10.5735,5332739.4201063
2002-12-29,10.6359,10.8125,10.6359,10.787,699148.67095871
2003-01-05,10.7563,11.208,10.6042,11.1772,3475036.8670023
2003-01-12,11.2396,11.3898,10.8749,10.9628,5937377.9678662
2003-01-19,11.0884,11.3898,10.9066,10.9066,4822824.9455154
2003-01-26,10.9381,10.9936,10.5102,10.5102,4884579.1006958
2003-02-02,10.3591,10.5102,10.1772,10.3916,2952894.2411985
2003-02-09,10.4215,10.5735,9.93734,10.0885,3884457.4474239
2003-02-16,10.1219,10.693,10.1219,10.693,2724054.2636759
2003-02-23,10.787,10.8433,10.4549,10.7563,4257043.3540153
2003-03-02,10.6359,10.8125,10.2721,10.3591,3478846.9973197
2003-03-09,10.3283,10.4215,9.84949,10.0006,5230179.9983008
2003-03-16,10.0885,10.3283,10.0577,10.1219,4132219.4789452
2003-03-23,10.0577,10.5735,9.96985,10.5102,6395842.026791
2003-03-30,10.3916,10.5102,10.2088,10.2721,3680173.9191214
2003-04-06,10.2088,10.4549,10.0006,10.3916,6578947.9221554
2003-04-13,10.5735,10.6605,10.1219,10.2088,4348406.8194102
2003-04-20,10.2387,10.3916,10.0577,10.3916,3981902.5545202
2003-04-27,10.3916,10.7238,10.3591,10.6605,4136892.2373333
2003-05-04,10.6605,11.0261,10.6359,11.0261,3902331.3741758
2003-05-11,11.0884,11.2958,10.9628,11.2958,3780943.2169755
2003-05-18,11.2651,11.4777,10.693,10.7563,13009947.163969
2003-05-25,10.7238,10.9628,10.5419,10.6605,5780066.7002719
2003-06-01,10.7238,11.0261,10.5735,11.0261,5464806.8673002
2003-06-08,11.0569,11.1772,10.8433,11.1772,6003058.332603
2003-06-15,11.1447,11.1772,10.8433,11.0884,3921681.3281145
2003-06-22,11.0261,11.5102,10.9381,11.3583,4354799.1437809
2003-06-29,11.2396,11.5726,11.208,11.4777,7913951.3519273
2003-07-06,11.4153,12.2018,11.3292,12.1438,9232914.2241054
2003-07-13,12.2641,13.2896,12.2641,12.8678,10453118.700541
2003-07-20,12.9874,13.2333,12.8678,12.9874,7705633.5010516
2003-07-27,13.0506,13.2333,12.5655,13.0506,9110207.0881006
2003-08-03,13.1683,13.8353,13.0506,13.4706,9131097.9370363
2003-08-10,13.2896,14.0189,13.0506,13.6543,7291632.3428141
2003-08-17,13.7167,14.3757,13.7167,14.0743,10849347.216853
2003-08-24,14.1367,15.1068,13.7729,14.924,12216209.84562
2003-08-31,14.8036,15.0435,14.5014,14.924,12873290.034705
2003-09-07,15.1068,15.4635,14.0189,14.1367,19386187.731803
2003-09-14,14.2571,14.5014,13.7167,14.0189,7410631.7713595
2003-09-21,14.0743,14.8599,13.8994,14.7413,6001557.2687175
2003-09-28,14.5593,14.8036,14.0743,14.7413,5901025.8195003
2003-10-05,14.6841,14.7413,14.1991,14.4381,5546885.131602
